,MATNO,GENDER,N FAIL,C FAIL,FAILED COURSES,TMC 211,PHY 232,MAT 213,MAT 212,GST 211,EDS 211,ECN 111,DLD 111,CSC 216,CSC 214,CSC 213,CSC 211,CIT 211,TOT WTS,TOT UNIT,GPA,PRE WTS,PRE UNIT,CUMWTS,CUMUNIT,CGPA,STAND,CLASS
0,bdbd4f1e2cdc19ed696ce5a18860dee2,M,3.0,6.0,MAT212 (3C); PHY232 (3C); TMC212 (0V),79.0,35.0,,23.0,52.0,66.0,62.0,63.0,56.0,66.0,52.0,54.0,48.0,66.0,25.0,2.64,214.0,51.0,280.0,76.0,3.68,GS,2|1
1,e0925fcf588ec583fd4cbd4a405c4e47,F,2.0,3.0,PHY232 (3C); TMC212 (0V),87.0,30.0,,47.0,52.0,64.0,72.0,66.0,58.0,64.0,61.0,56.0,51.0,78.0,25.0,3.12,213.0,51.0,291.0,76.0,3.83,GS,2|1
2,b9ab2eb275e107c995ea2f604efa2640,F,1.0,0.0,TMC212 (0V),83.0,60.0,,71.0,59.0,72.0,,76.0,70.0,79.0,75.0,81.0,60.0,115.0,25.0,4.6,224.0,51.0,339.0,76.0,4.46,GS,2|1
3,b611ef0a8c93a83dd202f6036c818eb3,M,1.0,0.0,TMC212 (0V),79.0,60.0,74.0,80.0,57.0,67.0,,64.0,77.0,75.0,75.0,76.0,73.0,117.0,25.0,4.68,246.0,51.0,363.0,76.0,4.78,GS,1st
4,1d0d35f26752e0a8bb919d6f4c222d95,M,6.0,15.0,"CSC213 (3C); CSC214 (3C); CSC231 (3E); MAT212 (3C);
PHY232 (3C); TMC212 (0V)",74.0,39.0,,27.0,47.0,68.0,,66.0,47.0,0.0,0.0,51.0,49.0,28.0,25.0,1.12,171.0,51.0,199.0,76.0,2.62,GS,2|2
5,23e8a04ba22cc5d9b1ca5d6a02938563,M,2.0,3.0,PHY232 (3C); TMC212 (0V),80.0,34.0,,64.0,46.0,74.0,47.0,57.0,74.0,62.0,63.0,55.0,59.0,80.0,25.0,3.2,201.0,51.0,281.0,76.0,3.7,GS,2|1
6,da55c3953c656714605616a036b5200e,F,2.0,3.0,CSC216 (3C); TMC212 (0V),78.0,55.0,,68.0,45.0,55.0,60.0,61.0,33.0,69.0,58.0,66.0,66.0,78.0,25.0,3.12,196.0,51.0,274.0,76.0,3.61,GS,2|1
7,2b1360b417a6ed066e4e597359b27974,M,3.0,5.0,CSC213 (3C); MAT122 (2C); TMC212 (0V),77.0,46.0,,53.0,47.0,64.0,,70.0,52.0,62.0,38.0,46.0,53.0,64.0,25.0,2.56,167.0,51.0,231.0,76.0,3.04,GS,2|2
8,d7dd9b229fcb1a8855b3f2b7113ccdf6,M,6.0,14.0,"CSC125 (3C); CSC213 (3C); CSC214 (3C); CSC216 (3C);
MAT122 (2C); TMC212 (0V)",79.0,46.0,,53.0,47.0,69.0,,73.0,30.0,0.0,36.0,45.0,59.0,38.0,24.0,1.58,170.0,51.0,208.0,75.0,2.77,GS,2|2
9,8f7d0cf288f749f1912da1327db954fb,M,3.0,5.0,"CSC231 (3E); MAT122 (2C);
TMC212 (0V)",70.0,46.0,,59.0,,,,67.0,58.0,76.0,52.0,53.0,60.0,77.0,25.0,3.08,170.0,51.0,247.0,76.0,3.25,GS,2|2
10,2cee8b3ca70d781610262118f3bae931,F,1.0,0.0,TMC212 (0V),76.0,63.0,,85.0,46.0,66.0,53.0,77.0,81.0,72.0,66.0,79.0,63.0,106.0,25.0,4.24,218.0,51.0,324.0,76.0,4.26,GS,2|1
11,1339b7e8155423c7dcaac739374eaa0b,F,1.0,0.0,TMC212 (0V),45.0,65.0,,71.0,50.0,59.0,67.0,67.0,70.0,74.0,65.0,58.0,59.0,101.0,25.0,4.04,225.0,51.0,326.0,76.0,4.29,GS,2|1
12,42a929ac5fdbe1bd48697d2e4f8972dd,M,1.0,0.0,TMC212 (0V),84.0,45.0,,85.0,50.0,66.0,48.0,51.0,66.0,67.0,46.0,57.0,61.0,81.0,25.0,3.24,222.0,51.0,303.0,76.0,3.99,GS,2|1
13,666b89dd40d583834abba66c9af9d7cc,F,1.0,0.0,TMC212 (0V),80.0,76.0,,89.0,55.0,67.0,70.0,78.0,81.0,87.0,79.0,76.0,71.0,120.0,25.0,4.8,243.0,51.0,363.0,76.0,4.78,GS,1st
14,9d47dd3b327e6d04dcd683ad97b7e33f,M,1.0,0.0,TMC212 (0V),89.0,72.0,,84.0,67.0,73.0,60.0,76.0,76.0,78.0,85.0,74.0,72.0,120.0,25.0,4.8,239.0,51.0,359.0,76.0,4.72,GS,1st
15,6b307d0ddcc155d1783aa722becb84da,M,2.0,3.0,CSC231 (3E); TMC212 (0V),61.0,50.0,,59.0,47.0,65.0,,67.0,50.0,68.0,62.0,57.0,55.0,72.0,25.0,2.88,200.0,51.0,272.0,76.0,3.58,GS,2|1
16,556158ca2dd25ef8111dbfe1c115c5a8,M,1.0,0.0,TMC212 (0V),52.0,47.0,,70.0,53.0,65.0,50.0,67.0,53.0,60.0,51.0,47.0,62.0,79.0,25.0,3.16,185.0,51.0,264.0,76.0,3.47,GS,2|2
17,9c10ff5326117a21460d437ae5e22f02,M,1.0,0.0,TMC212 (0V),69.0,58.0,,75.0,48.0,66.0,,61.0,50.0,61.0,57.0,55.0,61.0,84.0,25.0,3.36,191.0,51.0,275.0,76.0,3.62,GS,2|1
18,fbd5be819482f08a2ee9056b1505ba11,M,3.0,6.0,"CSC213 (3C); MAT212 (3C);
TMC212 (0V)",77.0,51.0,,39.0,55.0,60.0,51.0,66.0,63.0,61.0,42.0,50.0,62.0,66.0,25.0,2.64,212.0,51.0,278.0,76.0,3.66,GS,2|1
19,5e563e00c857dedb9f553756925e404d,M,5.0,11.0,"CSC214 (3C); GST211 (2U); MAT212 (3C); MAT213 (3E);
TMC212 (0V)",58.0,45.0,0.0,11.0,32.0,59.0,,52.0,49.0,0.0,49.0,50.0,50.0,33.0,25.0,1.32,200.0,51.0,233.0,76.0,3.07,GS,2|2
20,58e58888a5a2ea779aeca0602a95e0fc,M,4.0,9.0,CSC216 (3C); MAT212 (3C); PHY232 (3C); TMC212 (0V),76.0,42.0,,39.0,64.0,79.0,60.0,74.0,39.0,58.0,57.0,62.0,67.0,60.0,25.0,2.4,218.0,51.0,278.0,76.0,3.66,GS,2|1
21,e4f95321c7cb88da2833cf55b6eb3017,F,1.0,0.0,TMC212 (0V),89.0,81.0,91.0,84.0,72.0,74.0,,69.0,90.0,85.0,82.0,78.0,69.0,125.0,25.0,5.0,250.0,51.0,375.0,76.0,4.93,GS,1st
22,888afcf6c48f70da22e95e555582aaf0,M,2.0,3.0,CSC211 (3C); TMC212 (0V),51.0,63.0,,78.0,47.0,69.0,,68.0,72.0,67.0,47.0,35.0,53.0,77.0,25.0,3.08,225.0,51.0,302.0,76.0,3.97,GS,2|1
23,e305b6ac77cecf6a0ac16fd0a43143f4,F,1.0,0.0,TMC212 (0V),91.0,70.0,,77.0,52.0,68.0,66.0,77.0,80.0,69.0,71.0,70.0,53.0,114.0,25.0,4.56,228.0,51.0,342.0,76.0,4.5,GS,1st
24,fd5c193467579179b512b814f2b6a475,M,1.0,0.0,TMC212 (0V),86.0,72.0,,82.0,54.0,60.0,,60.0,59.0,75.0,79.0,65.0,58.0,121.0,30.0,4.03,206.0,51.0,327.0,81.0,4.04,GS,2|1
25,482238d0e51c03863288c5e0fdeb1524,M,3.0,6.0,"CIT121 (0C); CSC216 (3C); PHY232
(3C)",69.0,37.0,,59.0,52.0,61.0,,72.0,42.0,54.0,46.0,52.0,51.0,51.0,24.0,2.13,175.0,51.0,226.0,75.0,3.01,GS,2|2
26,72d56eb11ef09fd2171b5089e258769c,M,1.0,0.0,TMC212 (0V),77.0,74.0,66.0,87.0,51.0,72.0,,73.0,71.0,80.0,75.0,59.0,65.0,112.0,25.0,4.48,242.0,51.0,354.0,76.0,4.66,GS,1st
27,984f6b7bda2aadc447bcd070f6d10602,M,2.0,0.0,CIT141 (0C); TMC212 (0V),61.0,64.0,,61.0,50.0,59.0,60.0,68.0,50.0,66.0,68.0,69.0,52.0,94.0,25.0,3.76,177.0,51.0,271.0,76.0,3.57,GS,2|1
28,5748b2cd5c552afc50804dd9527ce20e,M,1.0,0.0,TMC212 (0V),45.0,60.0,,66.0,53.0,62.0,53.0,65.0,68.0,72.0,67.0,59.0,56.0,93.0,25.0,3.72,224.0,51.0,317.0,76.0,4.17,GS,2|1
29,b6c74067bb595074be8ce4456fc1ef16,M,4.0,9.0,CSC213 (3C); CSC216 (3C); CSC231 (3E); TMC212 (0V),73.0,48.0,,49.0,49.0,63.0,,60.0,38.0,54.0,39.0,45.0,66.0,40.0,25.0,1.6,192.0,51.0,232.0,76.0,3.05,GS,2|2
30,fbbc5b9ac893dd05eeecb2caa6a58f4d,M,3.0,6.0,CSC125 (3C); PHY232 (3C); TMC212 (0V),58.0,27.0,,46.0,46.0,55.0,65.0,65.0,60.0,59.0,45.0,51.0,60.0,64.0,25.0,2.56,174.0,51.0,238.0,76.0,3.13,GS,2|2
31,b5073a95054778162b9e37799ca987b9,M,1.0,0.0,TMC212 (0V),91.0,83.0,,93.0,53.0,74.0,,84.0,86.0,86.0,86.0,76.0,68.0,121.0,25.0,4.84,250.0,51.0,371.0,76.0,4.88,GS,1st
32,e8fd058d2a9b4bd0ecae30723a5d18c1,M,1.0,0.0,TMC212 (0V),82.0,77.0,,82.0,46.0,66.0,,74.0,76.0,71.0,56.0,63.0,72.0,106.0,25.0,4.24,225.0,51.0,331.0,76.0,4.36,GS,2|1
33,421968411a41c7ebad98710de818b54f,M,2.0,3.0,CSC214 (3C); TMC212 (0V),84.0,45.0,,81.0,53.0,70.0,57.0,66.0,55.0,0.0,64.0,50.0,48.0,76.0,25.0,3.04,210.0,51.0,286.0,76.0,3.76,GS,2|1
34,34e84fc11159c14c229713130124c096,F,1.0,0.0,TMC212 (0V),87.0,75.0,,81.0,57.0,71.0,73.0,84.0,86.0,89.0,80.0,75.0,69.0,121.0,25.0,4.84,246.0,51.0,367.0,76.0,4.83,GS,1st
35,65fc3579c0953f7ed6770db960a6b98d,M,2.0,3.0,CSC231 (3E); TMC212 (0V),65.0,61.0,,78.0,48.0,72.0,,72.0,75.0,71.0,84.0,68.0,64.0,97.0,25.0,3.88,219.0,51.0,316.0,76.0,4.16,GS,2|1
36,a5225a36088979afe75664972aaaa0c5,M,1.0,0.0,TMC212 (0V),90.0,75.0,,79.0,45.0,69.0,,66.0,54.0,64.0,53.0,60.0,65.0,94.0,25.0,3.76,196.0,51.0,290.0,76.0,3.82,GS,2|1
37,851fb5349054d3dc641bbd14e2946e1d,F,2.0,0.0,CIT211 (0C); TMC212 (0V),56.0,64.0,,86.0,47.0,58.0,,63.0,65.0,66.0,65.0,64.0,42.0,103.0,27.0,3.81,184.0,51.0,287.0,78.0,3.68,GS,2|1
38,e99d5afbedeccca26ea05285c5a72690,M,1.0,0.0,TMC212 (0V),83.0,74.0,,74.0,47.0,72.0,67.0,74.0,76.0,82.0,83.0,75.0,66.0,116.0,25.0,4.64,236.0,51.0,352.0,76.0,4.63,GS,1st
39,b367a8962c47bbe65256e1375dbed8a1,M,6.0,15.0,"CSC213 (3C); CSC214 (3C);
CSC216 (3C); ECN111 (3E); PHY232 (3C); TMC212 (0V)",49.0,36.0,,56.0,47.0,70.0,0.0,63.0,43.0,20.0,30.0,45.0,56.0,26.0,25.0,1.04,208.0,51.0,234.0,76.0,3.08,GS,2|2
40,2fb7380fcc1d0c7f6e5f6de17e273bd6,M,1.0,0.0,TMC212 (0V),82.0,73.0,,82.0,55.0,74.0,,75.0,68.0,88.0,76.0,67.0,73.0,115.0,25.0,4.6,249.0,51.0,364.0,76.0,4.79,GS,1st
41,4cffc04808c38c7faeb475bc51e38192,F,1.0,0.0,TMC212 (0V),56.0,62.0,,85.0,48.0,72.0,46.0,66.0,72.0,76.0,72.0,63.0,64.0,102.0,25.0,4.08,218.0,51.0,320.0,76.0,4.21,GS,2|1
42,c36d8fc5ab9ecff11243c52686e4d3cd,M,4.0,9.0,"CSC211 (3C); CSC213 (3C);
PHY232 (3C); TMC212 (0V)",78.0,29.0,,59.0,,66.0,60.0,70.0,48.0,55.0,35.0,39.0,55.0,49.0,25.0,1.96,183.0,51.0,232.0,76.0,3.05,GS,2|2
43,3b33adf947c3f599a1062924597649bf,M,7.0,12.0,"CIT141 (0C); CIT211 (0C); CSC125 (3C); CSC213 (3C); CSC216 (3C);
CSC231 (3E); TMC212 (0V)",60.0,46.0,,63.0,46.0,56.0,,45.0,40.0,,42.0,50.0,38.0,42.0,24.0,1.75,175.0,51.0,217.0,75.0,2.89,GS,2|2
44,083647df44fbfa5837f609865a7a096a,M,1.0,0.0,TMC212 (0V),67.0,63.0,,52.0,47.0,65.0,,57.0,67.0,71.0,72.0,59.0,65.0,96.0,25.0,3.84,185.0,51.0,281.0,76.0,3.7,GS,2|1
45,cc1dfefbe5e4bcbb7c60c63ebce04f09,M,6.0,11.0,"CIT141 (0C); CSC213 (3C); CSC214 (3C); MAT212 (3C); PHY122 (2C);
TMC212 (0V)",51.0,47.0,,39.0,45.0,60.0,64.0,63.0,58.0,42.0,33.0,47.0,53.0,44.0,25.0,1.76,170.0,51.0,214.0,76.0,2.82,GS,2|2
46,0b953acf4cdc830d99ded3dc22e3fa01,M,2.0,0.0,CIT211 (0C); TMC212 (0V),81.0,48.0,,51.0,58.0,70.0,60.0,70.0,59.0,73.0,56.0,50.0,38.0,85.0,25.0,3.4,224.0,51.0,309.0,76.0,4.07,GS,2|1
47,d3dc596255184c5e95a3d24ae9e3f86e,M,1.0,0.0,TMC212 (0V),70.0,51.0,,51.0,45.0,70.0,,66.0,51.0,53.0,53.0,46.0,45.0,69.0,24.0,2.88,181.0,51.0,250.0,75.0,3.33,GS,2|2
48,cd568b5f7ea22e5c631ca0e69e656529,M,1.0,0.0,TMC212 (0V),92.0,86.0,,92.0,63.0,83.0,73.0,80.0,78.0,84.0,85.0,76.0,69.0,123.0,25.0,4.92,253.0,51.0,376.0,76.0,4.95,GS,1st
49,ecac0370bd1e1865421c0c023e3e3d69,M,1.0,0.0,TMC212 (0V),57.0,55.0,,67.0,47.0,64.0,57.0,65.0,64.0,65.0,46.0,46.0,51.0,77.0,25.0,3.08,200.0,51.0,277.0,76.0,3.64,GS,2|1
50,6805f4c8dea588d540832d87dcfdc7ff,M,13.0,22.0,"CHM119 (1C); CIT121 (0C); CIT141 (0C); CSC213 (3C); EDS211 (1V); MAT112 (2C); MAT114 (2C); MAT121 (3C); MAT122 (2C); MAT212 (3C);
PHY111 (2C); PHY232 (3C);
TMC212 (0V)",,0.0,,20.0,,0.0,,,,,0.0,,60.0,0.0,17.0,0.0,115.0,51.0,115.0,68.0,1.69,NGS,3rd
51,db3ab42909ffa5eeae6df57b84a62ccb,M,1.0,0.0,TMC212 (0V),82.0,80.0,,72.0,49.0,81.0,61.0,77.0,79.0,83.0,80.0,68.0,59.0,113.0,25.0,4.52,224.0,51.0,337.0,76.0,4.43,GS,2|1
52,d5ae6551f81dc125ac35d12ea37b3172,M,5.0,9.0,CIT211 (0C); CSC213 (3C); CSC214 (3C); PHY232 (3C); TMC212 (0V),75.0,36.0,,58.0,47.0,56.0,66.0,55.0,55.0,0.0,37.0,48.0,38.0,48.0,25.0,1.92,195.0,51.0,243.0,76.0,3.2,GS,2|2
53,c27c38eba647c8a214abbbef9a5149fa,M,9.0,20.0,"CIT121 (0C); CSC125 (3C); CSC211 (3C); CSC213 (3C); CSC214 (3C); CSC216 (3C); MAT114 (2C);
MAT212 (3C); TMC212 (0V)",,58.0,,29.0,46.0,,55.0,67.0,42.0,0.0,0.0,18.0,51.0,22.0,25.0,0.88,176.0,51.0,198.0,76.0,2.61,GS,2|2
54,0d9ffb1f5a257d21627ac7209ce9122f,F,1.0,0.0,TMC212 (0V),89.0,73.0,,86.0,65.0,70.0,,88.0,86.0,89.0,85.0,66.0,70.0,117.0,25.0,4.68,238.0,51.0,355.0,76.0,4.67,GS,1st
55,c1c277f2406e48b29465b5851105121e,M,4.0,4.0,BIO112 (2C); CHM119 (1C); TMC211 (1V); TMC212 (0V),36.0,52.0,,65.0,47.0,55.0,,53.0,72.0,73.0,80.0,64.0,71.0,85.0,25.0,3.4,192.0,51.0,277.0,76.0,3.64,GS,2|1
56,874828af94fcd090fea37b3a107b6e3e,M,1.0,0.0,TMC212 (0V),81.0,74.0,72.0,79.0,58.0,64.0,,72.0,78.0,80.0,88.0,77.0,67.0,120.0,25.0,4.8,233.0,51.0,353.0,76.0,4.64,GS,1st
57,818047d6b63606c32e2d4ac0709fc6ea,M,1.0,0.0,TMC212 (0V),83.0,77.0,,81.0,53.0,72.0,63.0,70.0,80.0,80.0,77.0,71.0,57.0,118.0,25.0,4.72,236.0,51.0,354.0,76.0,4.66,GS,1st
58,12655590cac20616b5c21e2076033948,M,4.0,5.0,"CIT141 (0C); MAT114 (2C); PHY232
(3C); TMC212 (0V)",59.0,37.0,,73.0,46.0,69.0,64.0,56.0,53.0,59.0,62.0,57.0,45.0,77.0,27.0,2.85,187.0,51.0,264.0,78.0,3.38,GS,2|2
59,67372035118e932606c58280e434d984,M,1.0,0.0,TMC212 (0V),63.0,55.0,,72.0,47.0,70.0,45.0,66.0,70.0,72.0,69.0,63.0,68.0,97.0,25.0,3.88,189.0,51.0,286.0,76.0,3.76,GS,2|1
60,6d9199fca8eaa42f88dbd6dd1cfc314d,F,1.0,0.0,TMC212 (0V),92.0,56.0,,72.0,49.0,63.0,67.0,70.0,70.0,73.0,58.0,64.0,64.0,112.0,28.0,4.0,194.0,51.0,306.0,79.0,3.87,GS,2|1
61,ca1e5e09d982d5247d5271553dc6e884,M,2.0,3.0,PHY232 (3C); TMC212 (0V),82.0,32.0,,68.0,56.0,69.0,56.0,65.0,72.0,64.0,68.0,60.0,53.0,87.0,25.0,3.48,210.0,51.0,297.0,76.0,3.91,GS,2|1
